Empreendimento,Data CVCO,Status,Data Entrega de obra,N° Unidades,Custo de Construção,"(1,5%) Manut.","Orçamento (1,5%)",Despesa Manutenção,Ano-Mês
RESIDENCIAL ITAPEMA,20/12/2013,Fora de Garantia,20/12/2013,16,2222390.15,0.015,33335.852249999996,1833.51,2013-12
RESIDENCIAL PORTO BELO II,10/06/2015,Fora de Garantia,10/06/2015,80,2703609.59,0.015,40554.14384999999,285322.1485,2015-06
RESIDENCIAL MORRETES,30/06/2016,Fora de Garantia,30/06/2016,16,1115865.98,0.015,16737.9897,2600.0,2016-06
RESIDENCIAL ANGRA DOS REIS I,31/03/2017,Fora de Garantia,31/03/2017,48,3794525.52,0.015,56917.8828,588.5600000000001,2017-03
RESIDENCIAL SANTA CLARA,31/03/2017,Fora de Garantia,31/03/2017,21,2072327.89,0.015,31084.918349999996,0.0,2017-03
RESIDENCIAL IPANEMA,05/04/2017,Fora de Garantia,05/04/2017,38,3104765.98,0.015,46571.4897,15206.01,2017-04
RESIDENCIAL COPACABANA,20/04/2018,Fora de Garantia,20/04/2018,102,8253812.1,0.015,123807.18149999999,14156.960000000001,2018-04
RESIDENCIAL CANCUN,21/06/2018,Fora de Garantia,21/06/2018,40,3902639.45,0.015,58539.59175,0.0,2018-06
RESIDENCIAL VISTA PARQUE,23/11/2018,Fora de Garantia,23/11/2018,87,7987691.74,0.015,119815.3761,751.3199999999999,2018-11
RESIDENCIAL ITACARÉ,14/06/2019,Fora de Garantia,14/06/2019,48,6291600.0,0.015,94374.0,61117.05100000001,2019-06
RESIDENCIAL PORTAL DE SÃO FRANCISCO,10/09/2019,Fora de Garantia,10/09/2019,40,6600000.0,0.015,99000.0,0.0,2019-09
RESIDENCIAL ANGRA DOS REIS II,19/11/2019,Fora de Garantia,19/11/2019,65,10725000.0,0.015,160875.0,6237.6,2019-11
RESIDENCIAL MAR DEL PLATA,24/03/2020,Assistência Técnica,24/03/2020,40,3638071.5,0.015,54571.072499999995,6793.459999999999,2020-03
RESIDENCIAL PINHAIS PARK,25/03/2020,Assistência Técnica,25/03/2020,136,12272640.0,0.015,184089.6,369190.445,2020-03
RESIDENCIAL LA SERENA,11/05/2020,Assistência Técnica,11/05/2020,40,3638071.5,0.015,54571.072499999995,11644.4425,2020-05
RESIDENCIAL CANOAS,05/08/2020,Assistência Técnica,05/08/2020,78,12540000.0,0.015,188100.0,16984.236,2020-08
RESIDENCIAL THE ONE,22/09/2020,Assistência Técnica,22/09/2020,40,3609600.0,0.015,54144.0,50167.161,2020-09
RESIDENCIAL RESERVA MONTE CARLO,23/12/2020,Assistência Técnica,23/12/2020,160,15360000.0,0.015,230400.0,124140.48599999987,2020-12
RESIDENCIAL PIAZZA SAN PIETRO,10/05/2021,Assistência Técnica,10/05/2021,128,12036905.76,0.015,180553.5864,209035.46000000014,2021-05
RESIDENCIAL MONTOYA,19/10/2021,Assistência Técnica,19/10/2021,96,9352189.99,0.015,140282.84985,29132.679999999993,2021-10
RESIDENCIAL PLAZA ROYAL,11/08/2022,Assistência Técnica,11/08/2022,214,19261480.2,0.015,288922.203,109749.79000000001,2022-08
RESIDENCIAL PIAZZA VENEZZIA,31/01/2023,Assistência Técnica,31/01/2023,160,17432235.29,0.015,261483.52934999997,95088.81000000001,2023-01
RESIDENCIAL PORTO FINO,03/08/2023,Assistência Técnica,03/08/2023,46,5311418.46,0.015,79671.2769,5215.84,2023-08
RESIDENCIAL PARK ROYALE,18/08/2023,Assistência Técnica,18/08/2023,270,32778295.200000003,0.015,491674.428,19715.430000000004,2023-08
CONDOMÍNIO RESIDENCIAL LAGOA PARK RESIDENCE,19/04/2024,Assistência Técnica,19/04/2024,76,10327191.01,0.015,154907.86515,2914.8,2024-04
RESIDENCIAL SOLAR DAS ANDORINHAS,12/12/2024,Assistência Técnica,23/12/2024,123,12465783.0,0.015,186986.745,0.0,2024-12
Residencial Parque Dal Negro,,Em Obra,30/03/2025,67,7596411.3,0.015,113946.16949999999,0.0,2025-03
Residencial Honolulu,,Em Obra,16/05/2025,176,12045632.77,0.015,180684.49154999998,0.0,2025-05
